CASEID	A1CURFOR	CURRENT	FORMER	A6QUALS1	A7GENED	A8ABEGTR	A8CBGPCR	C12STPCR	C13STOP1	F13STOP1	F15BMSCH	F12AEXFN	F12BFNCR
1	2	D	1	1	4	21	23	  D	 D	2	D	40	35
2	2	D	1	3	5	12	19	  D	 D	9	7	32	22
3	2	D	1	4	6	4	18	  D	7	3	4	65	64
4	2	D	1	3	4	7	17	  D	 D	5	2	30	27
5	2	D	1	4	5	3	19	  D	 D	3	5	35	24
6	2	D	1	4	4	8	18	  D	 D	9	1	30	25
7	2	D	1	5	3	4	16	  D	 D	3	7	40	35
8	1	1	D	1	2	7	18	35	1	 D	D	  D	  D
9	2	D	1	2	4	6	20	  D	 D	4	4	  D	  D
10	1	1	D	4	4	5	22	60	1	 D	D	  D	  D
11	1	1	D	4	2	3	21	45	1	 D	D	  D	  D
12	2	D	1	1	2	9	15	  D	 D	1	D	36	36
13	2	D	1	8	2	8	19	  D	 D	1	4	35	36
14	2	D	1	1	2	7	18	  D	 D	1	7	40	39
15	2	D	1	6	3	5	20	  D	 D	1	3	  D	49
16	2	D	1	8	4	5	15	  D	 D	3	D	45	22
17	2	D	1	8	6	8	19	  D	 D	1	7	30	30
18	2	D	1	2	2	2	17	  D	 D	3	3	40	43
19	2	D	1	2	D	12	19	  D	 D	1	D	  D	40
20	2	D	1	1	4	6	18	  D	 D	5	6	  D	  D
21	2	D	1	3	1	14	18	  D	 D	1	2	40	38
22	2	D	1	1	4	7	16	  D	 D	5	3	  D	25
23	2	D	1	1	2	3	19	  D	 D	3	1	30	24
24	2	D	1	8	3	9	16	  D	 D	5	8	35	30
25	1	1	D	8	6	12	22	40	1	 D	D	  D	  D
26	2	D	1	1	2	8	22	  D	 D	3	6	36	31
27	1	1	D	1	4	17	23	45	1	 D	D	  D	  D
28	2	D	1	4	6	5	25	  D	 D	3	6	50	34
29	1	1	D	1	4	21	24	40	3	 D	D	  D	  D
30	2	D	1	4	4	6	22	  D	 D	1	6	40	33
31	2	D	1	4	5	4	25	45	 D	6	D	45	52
32	2	D	1	7	5	14	18	  D	 D	10	7	42	30
33	1	1	D	1	4	17	21	  D	1	 D	D	  D	  D
34	2	D	1	1	6	12	18	  D	 D	1	D	  D	41
35	1	1	D	8	6	8	22	40	5	 D	D	  D	  D
36	2	D	1	2	2	10	17	  D	 D	9	8	  D	  D
37	1	1	D	1	4	10	16	45	4	 D	D	  D	  D
38	2	D	1	1	4	6	17	  D	 D	5	D	35	28
39	2	D	1	1	4	16	22	  D	 D	2	1	30	32
40	1	1	D	1	2	4	19	35	3	 D	D	  D	  D
41	2	D	1	4	D	9	15	  D	 D	1	3	  D	39
42	1	1	D	4	4	5	20	50	8	 D	D	  D	  D
43	1	1	D	4	4	11	22	45	1	 D	D	  D	  D
44	2	D	1	4	5	18	18	  D	 D	5	6	  D	  D
45	2	D	1	1	4	3	18	  D	 D	2	7	30	22
46	2	D	1	1	2	5	16	  D	 D	1	D	35	30
47	2	D	1	1	4	10	19	  D	 D	3	1	45	28
48	2	D	1	3	5	3	16	  D	 D	3	1	  D	50
49	2	D	1	4	4	7	17	  D	 D	4	2	48	43
50	2	D	1	1	2	16	20	  D	 D	2	6	35	35
51	2	D	1	7	5	7	22	  D	 D	2	5	65	37
52	2	D	1	1	4	19	25	  D	 D	3	D	45	36
53	2	D	1	4	4	20	27	  D	 D	2	D	  D	44
54	2	D	1	4	4	9	18	  D	 D	7	7	  D	30
55	2	D	1	4	5	12	20	  D	 D	3	1	35	30
56	1	1	D	2	4	7	21	40	5	 D	D	  D	  D
57	2	D	1	1	3	8	18	  D	 D	4	9	  D	31
58	2	D	1	4	4	4	21	  D	 D	2	4	35	31
59	2	D	1	3	4	13	24	  D	 D	1	3	  D	34
60	2	D	1	4	5	16	22	  D	 D	10	D	35	36
61	2	D	1	4	4	3	18	  D	 D	2	6	38	28
62	2	D	1	3	5	7	16	  D	 D	7	1	60	44
63	2	D	1	4	D	23	23	  D	 D	5	D	40	35
64	2	D	1	1	4	14	20	  D	 D	7	3	32	37
65	1	1	D	1	1	15	18	  D	8	 D	D	  D	  D
66	2	D	1	2	2	8	21	  D	 D	4	6	30	30
67	2	D	1	1	3	6	17	  D	 D	4	8	  D	44
68	2	D	1	1	2	3	18	  D	 D	3	D	35	35
69	2	D	1	5	2	8	17	  D	 D	9	3	35	31
70	2	D	1	1	2	23	25	  D	 D	1	8	35	42
71	1	1	D	1	3	7	17	27	1	 D	D	  D	  D
72	2	D	1	1	3	11	18	  D	 D	1	7	40	37
73	2	D	1	2	4	9	19	  D	 D	5	7	40	25
74	2	D	1	1	2	10	18	  D	 D	1	6	35	45
75	1	1	D	7	5	20	24	65	7	 D	D	  D	  D
76	2	D	1	1	2	7	18	  D	 D	3	D	40	33
77	2	D	1	1	2	18	21	  D	 D	1	3	  D	40
78	2	D	1	1	3	13	19	  D	 D	7	3	  D	32
79	1	1	D	8	6	4	19	35	4	 D	D	  D	  D
80	2	D	1	1	2	10	17	  D	 D	1	1	30	31
81	2	D	1	1	6	6	18	  D	 D	3	1	  D	35
82	2	D	1	2	4	7	18	  D	 D	2	3	42	22
83	1	1	D	4	4	22	25	43	1	 D	D	  D	  D
84	2	D	1	3	4	12	20	  D	 D	1	6	  D	27
85	2	D	1	4	4	7	21	  D	 D	5	7	35	31
86	2	D	1	8	6	12	21	  D	 D	3	3	33	36
87	2	D	1	4	4	7	  D	  D	 D	1	7	40	50
88	2	D	1	1	4	17	23	  D	 D	1	5	35	37
89	2	D	1	1	3	16	20	  D	 D	6	7	40	38
90	1	1	D	4	4	8	22	35	3	 D	D	  D	  D
91	2	D	1	7	5	19	22	  D	 D	1	4	35	62
92	2	D	1	1	2	15	17	  D	 D	7	6	30	37
93	2	D	1	2	4	19	23	  D	 D	3	D	35	30
94	2	D	1	4	5	8	20	  D	 D	5	4	35	29
95	1	1	D	1	4	6	18	40	1	 D	D	  D	  D
96	2	D	1	1	3	11	19	  D	 D	3	D	28	21
97	2	D	1	4	5	12	21	  D	 D	1	1	  D	35
98	2	D	1	1	4	12	21	  D	 D	5	3	40	39
99	2	D	1	4	4	7	19	  D	 D	3	1	  D	36
